Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757190916,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757190917,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757190918,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757190919,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757190920,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757190921,10,,Aggregated,0.000000,0.000000,550,550,550,550,550,550,550,550,550,550,550,2,0,540.0,544.2071655124892,537.2004590171855,551.2138720077928,253.0
1757190922,20,,Aggregated,0.000000,0.000000,700,760,770,790,830,910,910,910,910,910,910,13,0,700.0,687.7718895400624,453.7580529868137,913.2346909900662,12832.692307692309
1757190923,30,,Aggregated,0.000000,0.000000,760,830,910,1600,1700,1700,1700,1700,1700,1700,1700,17,0,760.0,912.9070618244655,453.7580529868137,1677.1817989938427,9872.764705882353
1757190924,40,,Aggregated,0.000000,0.000000,760,830,910,1600,1700,1700,1700,1700,1700,1700,1700,17,0,760.0,912.9070618244655,453.7580529868137,1677.1817989938427,9872.764705882353
1757190925,50,,Aggregated,6.500000,0.000000,910,1700,1900,1900,2700,2700,3000,3000,3000,3000,3000,25,0,910.0,1341.9395675614942,453.7580529868137,2986.250193003798,13150.52
1757190926,60,,Aggregated,5.666667,0.000000,1900,2200,2600,2700,3100,3400,3500,3500,3500,3500,3500,37,0,1900.0,1787.975674757822,453.7580529868137,3469.0860109985806,8919.648648648648
1757190927,70,,Aggregated,5.000000,0.000000,1900,2300,2600,2700,3100,3100,3500,3500,3500,3500,3500,45,0,1900.0,1881.9170550456167,453.7580529868137,3469.0860109985806,8765.333333333334
1757190928,80,,Aggregated,5.000000,0.000000,2200,2600,2700,2800,3100,3500,3500,3600,3600,3600,3600,53,0,2200.0,2027.7294656239837,453.7580529868137,3582.556575012859,7470.88679245283
1757190929,90,,Aggregated,6.500000,0.000000,2300,2700,3000,3100,3400,3600,3800,4600,4600,4600,4600,70,0,2200.0,2208.9645668868407,453.7580529868137,4633.682893007062,9065.828571428572
1757190930,100,,Aggregated,6.500000,0.000000,2300,2700,3000,3100,3400,3700,3800,4600,4600,4600,4600,71,0,2300.0,2231.842849169969,453.7580529868137,4633.682893007062,10556.422535211268
1757190931,100,,Aggregated,7.375000,0.000000,2600,2800,3100,3200,3500,3800,4500,4600,4600,4600,4600,78,0,2500.0,2326.413508809473,453.7580529868137,4633.682893007062,10729.846153846154
1757190932,100,,Aggregated,7.888889,0.000000,2600,2900,3200,3400,3800,4900,5700,6500,6500,6500,6500,89,0,2600.0,2491.000623979182,437.9878820036538,6522.739736014046,11802.966292134832
1757190933,100,,Aggregated,7.200000,0.000000,2700,3100,3500,3700,4600,5700,6200,6500,7600,7600,7600,101,0,2700.0,2751.9702375463053,347.64691902091727,7559.7154930001125,12326.613861386139
1757190934,100,,Aggregated,7.100000,0.000000,2800,3400,3800,4400,5100,5900,7200,7600,7600,7600,7600,110,0,2800.0,2949.4073023011547,347.64691902091727,7621.864682994783,11331.845454545455
1757190935,100,,Aggregated,7.800000,0.000000,2900,3500,4100,4500,5500,6200,7200,7600,7600,7600,7600,116,0,2800.0,3038.2204696474346,203.362661995925,7621.864682994783,11565.146551724138
1757190936,100,,Aggregated,8.600000,0.000000,2900,3500,4400,4600,5800,6300,7200,7600,7600,7600,7600,120,0,2900.0,3090.882642808962,136.3916429982055,7621.864682994783,12173.666666666666
1757190937,100,,Aggregated,9.200000,0.000000,2900,3700,4400,4700,5900,7100,8400,9000,9000,9000,9000,132,0,2900.0,3125.05940593242,117.91624501347542,9044.693030999042,12212.5
1757190938,100,,Aggregated,9.200000,0.000000,2900,3700,4400,4700,5900,7200,9000,9000,9400,9400,9400,138,0,2900.0,3127.9206287537186,117.91624501347542,9418.889491993468,12210.376811594202
1757190939,100,,Aggregated,8.400000,0.000000,3000,3800,4600,5000,6300,7600,9400,9600,12000,12000,12000,149,0,3000.0,3306.813123899054,117.91624501347542,11966.498276975472,13656.335570469799
1757190940,100,,Aggregated,8.500000,0.000000,3100,4400,4900,5700,7600,9400,9900,12000,12000,12000,12000,160,0,3100.0,3596.551925818312,117.91624501347542,11966.498276975472,13587.15625
1757190941,100,,Aggregated,8.200000,0.000000,3100,4400,5100,5900,8500,9600,11000,12000,12000,12000,12000,175,0,3100.0,3741.3738506679824,117.91624501347542,11966.498276975472,12756.622857142856
1757190942,100,,Aggregated,7.900000,0.000000,3200,4700,5900,6900,9400,11000,12000,12000,12000,12000,12000,202,0,3200.0,4081.3461510350153,103.50154599291272,12078.344581997953,12829.509900990099
1757190943,100,,Aggregated,9.300000,0.000000,3400,4900,6200,7400,9400,11000,12000,12000,13000,13000,13000,225,0,3400.0,4096.908402595954,103.40006501064636,12578.567482007202,12314.23111111111
