Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757190248,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757190249,20,,Aggregated,0.000000,0.000000,850,860,860,870,920,920,920,920,920,920,920,10,0,750.0,753.0779205902945,540.8731839852408,921.1874959873967,126.5
1757190250,40,,Aggregated,0.000000,0.000000,850,860,870,870,920,1200,1200,1200,1200,1200,1200,11,0,850.0,791.7227879013146,540.8731839852408,1178.171461011516,138.0
1757190251,60,,Aggregated,0.000000,0.000000,860,920,1200,1300,2100,2100,2100,2100,2100,2100,2100,14,0,860.0,1015.938797493748,540.8731839852408,2145.589160005329,1447.7857142857142
1757190252,80,,Aggregated,5.500000,0.000000,1300,1900,2100,2100,3500,3600,3600,3600,3600,3600,3600,23,0,1300.0,1639.7619509991036,540.8731839852408,3576.636112004053,3741.086956521739
1757190253,100,,Aggregated,4.333333,0.000000,1900,2500,3500,3600,3800,4500,4600,4600,4600,4600,4600,38,0,1900.0,2145.4210918148565,42.69444799865596,4571.174073993461,3526.2368421052633
1757190254,120,,Aggregated,3.750000,0.000000,1900,3500,3600,3800,4700,4800,4900,5000,5000,5000,5000,52,0,1900.0,2246.131134805462,42.69444799865596,4980.455337994499,3507.019230769231
1757190255,140,,Aggregated,5.600000,0.000000,1900,3600,4000,4600,5000,5200,5500,5600,5600,5600,5600,72,0,1900.0,2283.584842970514,42.69444799865596,5552.95418901369,3676.75
1757190256,160,,Aggregated,7.166667,0.000000,1900,3600,4500,4700,5000,5300,5700,6200,6200,6200,6200,84,0,1900.0,2293.6534766777186,42.69444799865596,6179.499157005921,3729.25
1757190257,180,,Aggregated,9.142857,0.000000,1800,2400,3300,3600,4800,5300,5700,6200,6500,6500,6500,160,72,1700.0,2092.367545962952,42.69444799865596,6466.396378003992,2114.95625
1757190258,200,,Aggregated,9.625000,0.000000,1100,2100,2600,3400,4700,5300,6200,6300,7900,7900,7900,213,120,1100.0,1786.6492667803848,42.69444799865596,7861.652826977661,1987.7887323943662
1757190259,200,,Aggregated,12.000000,2.444444,590,1600,2300,2600,4700,5700,7900,8800,9000,9000,9000,296,193,580.0,1596.1213185276122,42.69444799865596,8995.022159011569,1667.1148648648648
1757190260,200,,Aggregated,18.700000,9.600000,430,1100,2000,2500,4800,6500,8500,9000,10000,10000,10000,366,252,430.0,1544.0751970500705,42.69444799865596,9987.979659024859,1444.24043715847
1757190261,200,,Aggregated,25.600000,16.200000,380,790,1700,2300,4600,6300,8400,8800,10000,10000,10000,426,309,380.0,1403.782345237527,42.69444799865596,9987.979659024859,1386.2863849765258
1757190262,200,,Aggregated,30.800000,20.800000,360,560,1500,2100,4600,7200,8800,10000,12000,12000,12000,517,389,360.0,1382.7655760060663,42.69444799865596,11773.702159000095,1224.4332688588008
